"KIQ241.Code.or.Value","KIQ241.Value.Description","KIQ241.Count","KIQ241.Cumulative","KIQ241.Skip.to.Item"
"1","Yes",54,54,NA
"2","No",41,95,NA
"7","Refused",0,95,NA
"9","Don't know",0,95,NA
".","Missing",1881,1976,NA
