"TYXP168.Code.or.Value","TYXP168.Value.Description","TYXP168.Count","TYXP168.Cumulative","TYXP168.Skip.to.Item"
"-296 to 176","Range of Values",1708,1708,NA
".","Missing",3877,5585,NA
