"LBDTC2LC.Code.or.Value","LBDTC2LC.Value.Description","LBDTC2LC.Count","LBDTC2LC.Cumulative","LBDTC2LC.Skip.to.Item"
"0","At or above the detection limit",96,96,NA
"1","Below lower detection limit",199,295,NA
".","Missing",6,301,NA
