"CIQDPE.Code.or.Value","CIQDPE.Value.Description","CIQDPE.Count","CIQDPE.Cumulative","CIQDPE.Skip.to.Item"
"1","Yes",1,1,""
"2","No",15,16,"CIDDPRB"
"7","Refuse",0,16,"CIDDPRB"
"9","Don't know",0,16,"CIDDPRB"
".","Missing",834,850,""
