"PUD021.Code.or.Value","PUD021.Value.Description","PUD021.Count","PUD021.Cumulative","PUD021.Skip.to.Item"
"1","Yes",253,253,NA
"2","No",1698,1951,NA
".","Missing",8171,10122,NA
