"URXUPT.Code.or.Value","URXUPT.Value.Description","URXUPT.Count","URXUPT.Cumulative","URXUPT.Skip.to.Item"
"0.006 to 621","Range of Values",2847,2847,NA
".","Missing",94,2941,NA
