"URDBPHLC.Code.or.Value","URDBPHLC.Value.Description","URDBPHLC.Count","URDBPHLC.Cumulative","URDBPHLC.Skip.to.Item"
"0","At or above the detection limit",2513,2513,NA
"1","Below lower detection limit",138,2651,NA
".","Missing",152,2803,NA
