"SSFIM.Code.or.Value","SSFIM.Value.Description","SSFIM.Count","SSFIM.Cumulative","SSFIM.Skip.to.Item"
"0.03 to 5201.99","Range of Values",5903,5903,NA
".","Missing",8,5911,NA
