"AUXRR253.Code.or.Value","AUXRR253.Value.Description","AUXRR253.Count","AUXRR253.Cumulative","AUXRR253.Skip.to.Item"
"-22 to 89","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
