"LBXLUZ.Code.or.Value","LBXLUZ.Value.Description","LBXLUZ.Count","LBXLUZ.Cumulative","LBXLUZ.Skip.to.Item"
"1.7 to 351","Range of Values",6500,6500,NA
".","Missing",935,7435,NA
