"LBDSF1LC.Code.or.Value","LBDSF1LC.Value.Description","LBDSF1LC.Count","LBDSF1LC.Cumulative","LBDSF1LC.Skip.to.Item"
"0","At or above the detection limit",4571,4571,NA
"1","Below lower detection limit",0,4571,NA
".","Missing",521,5092,NA
