"RDD134.Code.or.Value","RDD134.Value.Description","RDD134.Count","RDD134.Cumulative","RDD134.Skip.to.Item"
"1","Yes",625,625,NA
"2","No",315,940,NA
"7","Refused",0,940,NA
"9","Don't know",1,941,NA
".","Missing",9529,10470,NA
