"LBXVIE.Code.or.Value","LBXVIE.Value.Description","LBXVIE.Count","LBXVIE.Cumulative","LBXVIE.Skip.to.Item"
"325 to 5120","Range of Values",6665,6665,NA
".","Missing",770,7435,NA
