"DUQ230.Code.or.Value","DUQ230.Value.Description","DUQ230.Count","DUQ230.Cumulative","DUQ230.Skip.to.Item"
"1 to 30","Range of Values",626,626,NA
"777","Refused",0,626,NA
"999","Don't know",1,627,NA
".","Missing",3945,4572,NA
