"DXXPT40X.Code.or.Value","DXXPT40X.Value.Description","DXXPT40X.Count","DXXPT40X.Cumulative","DXXPT40X.Skip.to.Item"
"734.2 to 1269.3","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
