"PAXTMD.Code.or.Value","PAXTMD.Value.Description","PAXTMD.Count","PAXTMD.Cumulative","PAXTMD.Skip.to.Item"
"10 to 1440","Range of Values",69018,69018,NA
".","Missing",0,69018,NA
