"DX2TSBMC.Code.or.Value","DX2TSBMC.Value.Description","DX2TSBMC.Count","DX2TSBMC.Cumulative","DX2TSBMC.Skip.to.Item"
"63.28 to 266.48","Range of Values",443,443,NA
".","Missing",42,485,NA
