"WBXF090.Code.or.Value","WBXF090.Value.Description","WBXF090.Count","WBXF090.Cumulative","WBXF090.Skip.to.Item"
"4896.2142 to 4896.2142","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
