"LB2ALC.Code.or.Value","LB2ALC.Value.Description","LB2ALC.Count","LB2ALC.Cumulative","LB2ALC.Skip.to.Item"
"0.5 to 51.7","Range of Values",545,545,NA
".","Missing",6,551,NA
