"WBXP054.Code.or.Value","WBXP054.Value.Description","WBXP054.Count","WBXP054.Cumulative","WBXP054.Skip.to.Item"
"-173.511 to 165.1846","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
