"WTSPP41.Code.or.Value","WTSPP41.Value.Description","WTSPP41.Count","WTSPP41.Cumulative","WTSPP41.Skip.to.Item"
"0 to 845650.07133","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
