"SPDBRONC.Code.or.Value","SPDBRONC.Value.Description","SPDBRONC.Count","SPDBRONC.Cumulative","SPDBRONC.Skip.to.Item"
"1","Yes",842,842,NA
"2","No",5853,6695,NA
".","Missing",800,7495,NA
