"WTSHM06.Code.or.Value","WTSHM06.Value.Description","WTSHM06.Count","WTSHM06.Cumulative","WTSHM06.Skip.to.Item"
"0.0000000 to 767701.6198700","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
