"CFDCIT1.Code.or.Value","CFDCIT1.Value.Description","CFDCIT1.Count","CFDCIT1.Cumulative","CFDCIT1.Skip.to.Item"
"0 to 4","Range of Values",1681,1681,NA
".","Missing",104,1785,NA
