"RFXC131.Code.or.Value","RFXC131.Value.Description","RFXC131.Count","RFXC131.Cumulative","RFXC131.Skip.to.Item"
"-6.828 to 7.26","Range of Values",33679,33679,NA
".","Missing",42,33721,NA
