"DR2TSELE.Code.or.Value","DR2TSELE.Value.Description","DR2TSELE.Count","DR2TSELE.Cumulative","DR2TSELE.Skip.to.Item"
"0 to 589.5","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
