"WBXP028.Code.or.Value","WBXP028.Value.Description","WBXP028.Count","WBXP028.Cumulative","WBXP028.Skip.to.Item"
"-34.9007 to 144.6193","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
