"WTSHM26.Code.or.Value","WTSHM26.Value.Description","WTSHM26.Count","WTSHM26.Cumulative","WTSHM26.Skip.to.Item"
"0.0000000 to 748647.3163800","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
