"WTSPO45.Code.or.Value","WTSPO45.Value.Description","WTSPO45.Count","WTSPO45.Cumulative","WTSPO45.Skip.to.Item"
"0.0000000 to 842839.2000000","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
