"WTSPP05.Code.or.Value","WTSPP05.Value.Description","WTSPP05.Count","WTSPP05.Cumulative","WTSPP05.Skip.to.Item"
"0 to 830104.86041","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
