"DRXTZINC.Code.or.Value","DRXTZINC.Value.Description","DRXTZINC.Count","DRXTZINC.Cumulative","DRXTZINC.Skip.to.Item"
"0 to 283.96","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
