"RFXC032.Code.or.Value","RFXC032.Value.Description","RFXC032.Count","RFXC032.Cumulative","RFXC032.Skip.to.Item"
"-8.215 to 5.37","Range of Values",33704,33704,NA
".","Missing",17,33721,NA
