"SSCYFLPS.Code.or.Value","SSCYFLPS.Value.Description","SSCYFLPS.Count","SSCYFLPS.Cumulative","SSCYFLPS.Skip.to.Item"
"0 to 1","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
