"OPDSD125.Code.or.Value","OPDSD125.Value.Description","OPDSD125.Count","OPDSD125.Cumulative","OPDSD125.Skip.to.Item"
"0","No",2841,2841,NA
"1","Yes",215,3056,NA
".","Missing",807,3863,NA
