"OHAROCDE.Code.or.Value","OHAROCDE.Value.Description","OHAROCDE.Count","OHAROCDE.Cumulative","OHAROCDE.Skip.to.Item"
"1","Yes",264,264,NA
"2","No",5,269,NA
".","Missing",8097,8366,NA
