"SSCENSIG.Code.or.Value","SSCENSIG.Value.Description","SSCENSIG.Count","SSCENSIG.Cumulative","SSCENSIG.Skip.to.Item"
"0","0",4265,4265,NA
".","Missing",0,4265,NA
