"LBXETA.Code.or.Value","LBXETA.Value.Description","LBXETA.Count","LBXETA.Cumulative","LBXETA.Skip.to.Item"
"1","Positive",54,54,NA
"2","Negative",316,370,NA
".","Missing",8809,9179,NA
