"RHD170.Code.or.Value","RHD170.Value.Description","RHD170.Count","RHD170.Cumulative","RHD170.Skip.to.Item"
"0 to 10","Range of Values",1943,1943,NA
"11","11 or More",12,1955,NA
"77","Refused",0,1955,NA
"99","Don't know",0,1955,NA
".","Missing",1609,3564,NA
