"WTSPP15.Code.or.Value","WTSPP15.Value.Description","WTSPP15.Count","WTSPP15.Cumulative","WTSPP15.Skip.to.Item"
"0 to 855518.17111","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
