"DS1TLZ.Code.or.Value","DS1TLZ.Value.Description","DS1TLZ.Count","DS1TLZ.Cumulative","DS1TLZ.Skip.to.Item"
"3 to 71000","Range of Values",440,440,NA
".","Missing",8264,8704,NA
