"TYXP112.Code.or.Value","TYXP112.Value.Description","TYXP112.Count","TYXP112.Cumulative","TYXP112.Skip.to.Item"
"-286 to 122","Range of Values",5486,5486,NA
".","Missing",99,5585,NA
