"PSQ230.Code.or.Value","PSQ230.Value.Description","PSQ230.Count","PSQ230.Cumulative","PSQ230.Skip.to.Item"
"1","True",22,22,NA
"2","False",1,23,NA
"7","Refused",0,23,NA
"9","Don't know",1,24,NA
".","Missing",28,52,NA
