"WTSAU02.Code.or.Value","WTSAU02.Value.Description","WTSAU02.Count","WTSAU02.Cumulative","WTSAU02.Skip.to.Item"
"0 to 476493.46572","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
