"DS2IPFAT.Code.or.Value","DS2IPFAT.Value.Description","DS2IPFAT.Count","DS2IPFAT.Cumulative","DS2IPFAT.Skip.to.Item"
"0.25 to 12","Range of Values",148,148,NA
".","Missing",5628,5776,NA
