"DRXIZINC.Code.or.Value","DRXIZINC.Value.Description","DRXIZINC.Count","DRXIZINC.Cumulative","DRXIZINC.Skip.to.Item"
"0 to 281.4","Range of Values",141931,141931,NA
".","Missing",1073,143004,NA
