"URXOP5.Code.or.Value","URXOP5.Value.Description","URXOP5.Count","URXOP5.Cumulative","URXOP5.Skip.to.Item"
"0.0707 to 175","Range of Values",2804,2804,NA
".","Missing",182,2986,NA
