"LBXV2T.Code.or.Value","LBXV2T.Value.Description","LBXV2T.Count","LBXV2T.Cumulative","LBXV2T.Skip.to.Item"
"0.0071 to 1.35","Range of Values",2754,2754,NA
".","Missing",540,3294,NA
