"LB2SCR.Code.or.Value","LB2SCR.Value.Description","LB2SCR.Count","LB2SCR.Cumulative","LB2SCR.Skip.to.Item"
"0.4 to 10.2","Range of Values",544,544,NA
".","Missing",2,546,NA
