"CSQ202.Code.or.Value","CSQ202.Value.Description","CSQ202.Count","CSQ202.Cumulative","CSQ202.Skip.to.Item"
"1","Yes",602,602,NA
"2","No",3211,3813,NA
"7","Refused",0,3813,NA
"9","Don't know",2,3815,NA
".","Missing",0,3815,NA
