"FSD795.Code.or.Value","FSD795.Value.Description","FSD795.Count","FSD795.Cumulative","FSD795.Skip.to.Item"
"1 to 12","Range of Values",2521,2521,NA
"77","Refused",0,2521,NA
"99","Don't know",41,2562,NA
".","Missing",6692,9254,NA
