"LBCBR3.Code.or.Value","LBCBR3.Value.Description","LBCBR3.Count","LBCBR3.Cumulative","LBCBR3.Skip.to.Item"
"18.05 to 679.9","Range of Values",265,265,NA
".","Missing",0,265,NA
