"WBXF031.Code.or.Value","WBXF031.Value.Description","WBXF031.Count","WBXF031.Cumulative","WBXF031.Skip.to.Item"
"890.8987 to 890.8987","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
