"RFXT114.Code.or.Value","RFXT114.Value.Description","RFXT114.Count","RFXT114.Cumulative","RFXT114.Skip.to.Item"
"990 to 999","Range of Values",33689,33689,NA
".","Missing",32,33721,NA
