"SPXBFEV1.Code.or.Value","SPXBFEV1.Value.Description","SPXBFEV1.Count","SPXBFEV1.Cumulative","SPXBFEV1.Skip.to.Item"
"741 to 5378","Range of Values",457,457,NA
".","Missing",7038,7495,NA
