"LBXBMN.Code.or.Value","LBXBMN.Value.Description","LBXBMN.Count","LBXBMN.Cumulative","LBXBMN.Skip.to.Item"
"1.57 to 52","Range of Values",7513,7513,NA
".","Missing",853,8366,NA
