"WTSPO31.Code.or.Value","WTSPO31.Value.Description","WTSPO31.Count","WTSPO31.Cumulative","WTSPO31.Skip.to.Item"
"0.0000000 to 852002.0944200","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
