"URXMU1.Code.or.Value","URXMU1.Value.Description","URXMU1.Count","URXMU1.Cumulative","URXMU1.Skip.to.Item"
"0.035 to 2010","Range of Values",2621,2621,NA
".","Missing",138,2759,NA
