"WTIREP20.Code.or.Value","WTIREP20.Value.Description","WTIREP20.Count","WTIREP20.Cumulative","WTIREP20.Skip.to.Item"
"0 to 237367.40897","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
