"LBX153.Code.or.Value","LBX153.Value.Description","LBX153.Count","LBX153.Cumulative","LBX153.Skip.to.Item"
"0.0061 to 6.5094","Range of Values",1896,1896,NA
".","Missing",389,2285,NA
