"IMQ040.Code.or.Value","IMQ040.Value.Description","IMQ040.Count","IMQ040.Cumulative","IMQ040.Skip.to.Item"
"1","Yes",600,600,"IMQ080"
"2","No",2363,2963,""
"7","Refused",0,2963,""
"9","Don't know",125,3088,""
".","Missing",7087,10175,""
