"DRXFCSD.Code.or.Value","DRXFCSD.Value.Description","DRXFCSD.Count","DRXFCSD.Cumulative","DRXFCSD.Skip.to.Item"
"Short Food Code Description","Value was recorded",8536,8536,NA
"< blank >","Missing",0,8536,NA
