"ENXTR1Q.Code.or.Value","ENXTR1Q.Value.Description","ENXTR1Q.Count","ENXTR1Q.Cumulative","ENXTR1Q.Skip.to.Item"
"5 to 177","Range of Values",5999,5999,NA
".","Missing",1496,7495,NA
