"DXXANIDX.Code.or.Value","DXXANIDX.Value.Description","DXXANIDX.Count","DXXANIDX.Cumulative","DXXANIDX.Skip.to.Item"
"12","12",3251,3251,NA
".","Missing",457,3708,NA
