"DS1IVC.Code.or.Value","DS1IVC.Value.Description","DS1IVC.Count","DS1IVC.Cumulative","DS1IVC.Skip.to.Item"
"2 to 10000","Range of Values",1984,1984,NA
".","Missing",4084,6068,NA
